Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Field_Area_hectare,Previous_Irrigation_mm,Soil_Type_Loamy,Soil_Type_Sandy,Soil_Type_Silt,Crop_Type_Maize,Crop_Type_Potato,Crop_Type_Rice,Crop_Type_Sugarcane,Crop_Type_Wheat,Crop_Growth_Stage_Harvest,Crop_Growth_Stage_Sowing,Crop_Growth_Stage_Vegetative,Season_Rabi,Season_Zaid,Irrigation_Type_Drip,Irrigation_Type_Rainfed,Irrigation_Type_Sprinkler,Water_Source_Rainwater,Water_Source_Reservoir,Water_Source_River,Mulching_Used_Yes,Region_East,Region_North,Region_South,Region_West,Irrigation_Need
5.52,36.66,1.25,2.7,37.53,64.53,926.37,5.57,7.62,6.67,51.54,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,2
7.87,36.9,1.21,3.46,14.72,81.78,1124.05,5.62,5.2,13.81,96.59,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,1
7.94,8.06,1.38,2.37,14.21,64.72,2049.91,10.93,14.21,14.4,117.12,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,2
6.73,36.78,0.89,3.34,28.08,60.75,746.71,6.04,13.52,2.23,109.61,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,1
6.59,60.03,1.05,1.6,24.88,44.99,2334.98,9.24,4.73,0.57,18.42,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,1
7.01,50.33,1.04,1.2,26.43,55.49,2263.24,6.9,14.04,6.48,66.4,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,1
6.12,56.76,1.31,3.2,24.65,66.5,2292.96,5.96,2.96,12.94,88.75,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,1
6.59,25.67,1.15,1.09,16.46,28.51,2406.79,9.95,1.4,6.31,67.66,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,1
5.09,42.66,0.96,0.42,33.08,60.16,1937.37,5.8,11.64,7.34,3.4,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,1
5.08,45.59,0.6,1.05,28.18,35.18,1821.6,8.13,1.46,6.76,101.47,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,1
5.51,25.99,1.49,1.18,36.31,78.58,2076.51,10.57,16.74,12.67,7.93,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,1
5.92,26.66,1.0,0.38,14.46,72.08,1034.8,9.4,11.15,8.18,58.84,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
5.58,52.43,0.6,1.78,28.51,68.98,2187.47,8.17,7.95,13.68,87.92,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,1
5.13,17.43,0.66,2.61,21.75,58.9,942.17,7.74,6.85,9.1,93.01,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,2
7.16,39.15,1.42,3.26,28.0,94.31,994.31,8.3,9.07,0.51,29.3,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,1
4.98,61.44,0.6,3.44,19.66,91.96,1952.95,10.42,17.11,1.98,64.24,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,1
7.25,30.84,1.09,1.49,25.63,30.86,608.01,8.04,2.13,5.59,20.66,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,1
7.38,23.69,0.99,1.86,33.46,62.53,1575.43,9.16,9.38,0.78,92.09,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,2
6.34,59.77,1.43,2.92,12.67,33.22,1874.55,4.64,12.5,5.1,13.81,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,1
7.18,52.6,1.57,3.13,33.02,75.47,1272.55,8.67,2.37,11.54,113.08,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,1
7.52,55.07,1.02,1.56,14.64,76.4,1526.4,4.9,3.23,8.91,21.55,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,1
7.59,43.1,0.95,2.67,27.72,45.15,497.81,10.08,4.11,13.26,16.67,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,1
7.94,43.91,0.89,0.57,33.16,77.79,994.25,9.13,13.75,7.8,38.46,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,2
5.32,28.32,1.25,0.99,28.36,32.39,1861.85,8.88,13.25,2.56,56.72,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,1
5.73,25.61,0.71,2.47,22.88,63.02,60.92,8.29,6.93,10.31,84.96,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,2
5.23,20.66,0.46,3.21,31.93,47.66,708.84,4.12,12.58,1.13,83.75,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,2
6.07,44.1,1.02,2.81,27.72,55.16,1640.47,5.9,11.01,5.54,9.82,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,1
5.16,64.86,1.5,2.6,29.38,64.35,1021.73,4.04,2.99,1.4,64.73,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,1
5.4,49.44,0.9,1.19,34.03,52.31,1591.84,9.86,5.66,4.87,15.46,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
5.62,11.19,0.64,0.19,20.22,60.37,856.0,8.33,18.3,5.32,39.19,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,1
7.67,50.23,1.29,2.55,39.16,39.32,310.19,8.44,18.59,2.37,28.03,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,2
5.09,37.45,0.91,2.43,36.3,26.29,1727.13,4.61,15.6,6.76,85.66,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,2
6.53,57.87,1.47,0.29,23.26,32.51,791.86,4.6,15.27,6.59,94.33,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,1
6.44,14.78,1.51,2.6,26.98,40.43,465.63,9.81,11.19,12.44,109.34,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
8.08,20.82,0.5,2.47,32.04,92.35,1030.07,9.24,3.84,14.56,99.27,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,2
7.88,55.87,1.07,1.03,40.43,43.65,1151.11,7.32,12.12,11.71,11.91,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,1
